customer_id,customer_name,customer_segment,industry,city,credit_limit,credit_days,customer_risk_tier,relationship_since
CUS-0001,"Ghosh, Panchal and Mall",SME,PHARMA,Chennai,1737631.93,60,MEDIUM,2023-02-20
CUS-0002,Palla-Narayanan,SME,MANUFACTURING,Bangalore,1483870.89,45,LOW,2024-11-02
CUS-0003,"Tella, Krishnamurthy and Mukherjee",ENTERPRISE,IT,Hyderabad,31516955.77,45,MEDIUM,2022-01-05
CUS-0004,Ghosh Inc,ENTERPRISE,RETAIL,Bangalore,48074588.25,45,LOW,2022-06-06
CUS-0005,Narayanan and Sons,STARTUP,PHARMA,Hyderabad,489246.31,60,LOW,2022-08-15
CUS-0006,"Ghose, Bahri and Sridhar",SME,MANUFACTURING,Hyderabad,3098084.65,30,LOW,2021-11-30
CUS-0007,"Shukla, Deshpande and Contractor",STARTUP,MANUFACTURING,Hyderabad,281364.12,45,MEDIUM,2024-10-07
CUS-0008,Kothari-Garg,ENTERPRISE,MANUFACTURING,Bangalore,17014001.99,60,MEDIUM,2024-04-01
CUS-0009,Dugal LLC,ENTERPRISE,MANUFACTURING,Hyderabad,25801709.53,30,MEDIUM,2022-11-15
CUS-0010,"Oza, Shenoy and Kibe",ENTERPRISE,PHARMA,Hyderabad,6444510.98,30,LOW,2024-11-25
CUS-0011,"Dash, Din and Patil",SME,MANUFACTURING,Bangalore,4615464.15,60,LOW,2024-05-14
CUS-0012,"Naik, Sama and Kapur",ENTERPRISE,MANUFACTURING,Bangalore,31306369.56,45,LOW,2022-12-09
CUS-0013,Kumer-Srinivasan,ENTERPRISE,IT,Bangalore,7120236.89,30,MEDIUM,2024-02-13
CUS-0014,Menon Inc,SME,BFSI,Chennai,2606224.5,60,LOW,2023-06-27
CUS-0015,Bassi-Ravel,STARTUP,MANUFACTURING,Delhi,236070.19,30,LOW,2022-11-20
CUS-0016,Tripathi Ltd,STARTUP,BFSI,Hyderabad,300234.45,60,LOW,2024-02-20
CUS-0017,Sheth and Sons,SME,PHARMA,Chennai,2182612.34,60,HIGH,2024-09-20
CUS-0018,"Dhaliwal, Vora and Memon",SME,RETAIL,Mumbai,4680943.77,30,MEDIUM,2021-11-15
CUS-0019,Sandhu Group,ENTERPRISE,PHARMA,Mumbai,30531062.47,30,MEDIUM,2025-04-02
CUS-0020,"Sura, Badami and Kota",SME,MANUFACTURING,Bangalore,1243071.32,60,MEDIUM,2024-09-07
CUS-0021,"Batra, Savant and Bali",SME,PHARMA,Delhi,2295465.35,30,LOW,2024-01-03
CUS-0022,Rau-Choudhry,ENTERPRISE,BFSI,Chennai,7881165.33,60,LOW,2021-08-28
CUS-0023,Viswanathan PLC,SME,MANUFACTURING,Hyderabad,4574390.06,60,LOW,2023-06-27
CUS-0024,"Bala, Chowdhury and Narasimhan",SME,MANUFACTURING,Delhi,3755086.55,45,LOW,2023-08-05
CUS-0025,"Bahri, Cheema and Patla",ENTERPRISE,BFSI,Chennai,9361886.64,30,LOW,2023-03-06
CUS-0026,"Shroff, Hari and Oza",SME,IT,Mumbai,4377526.41,45,LOW,2023-05-04
CUS-0027,Patla-Konda,ENTERPRISE,PHARMA,Chennai,25818263.08,30,MEDIUM,2025-05-10
CUS-0028,"Rout, Yadav and Sharaf",SME,MANUFACTURING,Mumbai,566410.35,45,MEDIUM,2022-03-09
CUS-0029,Contractor-Taneja,SME,IT,Hyderabad,2304681.32,45,LOW,2025-02-10
CUS-0030,"Dhaliwal, Kant and Sankaran",ENTERPRISE,IT,Mumbai,36346617.66,30,MEDIUM,2024-07-14
CUS-0031,Srivastava-Loke,ENTERPRISE,BFSI,Chennai,48591921.42,60,MEDIUM,2024-01-25
CUS-0032,Sundaram-Gala,SME,MANUFACTURING,Chennai,2890067.61,60,LOW,2025-01-04
CUS-0033,Vasa Group,ENTERPRISE,PHARMA,Bangalore,43781864.09,30,LOW,2023-05-21
CUS-0034,"Dash, Barad and Jaggi",SME,MANUFACTURING,Hyderabad,3126525.3,30,HIGH,2024-10-05
CUS-0035,"Nadig, Arya and Sankaran",ENTERPRISE,BFSI,Chennai,10889522.7,45,HIGH,2023-09-05
CUS-0036,Nadig-Prabhu,SME,MANUFACTURING,Hyderabad,949915.62,30,LOW,2024-02-23
CUS-0037,"Varty, Devan and Rajan",STARTUP,PHARMA,Bangalore,433497.98,30,MEDIUM,2024-02-18
CUS-0038,"Wadhwa, Iyer and Gaba",SME,RETAIL,Chennai,4692902.18,30,MEDIUM,2024-10-20
CUS-0039,Venkataraman Group,SME,RETAIL,Bangalore,1767903.22,45,LOW,2023-11-01
CUS-0040,Kanda-Sood,ENTERPRISE,BFSI,Chennai,45867157.08,45,MEDIUM,2021-09-22
CUS-0041,Bedi PLC,SME,IT,Bangalore,1678798.68,30,LOW,2024-08-18
CUS-0042,Bhatia-Subramaniam,ENTERPRISE,RETAIL,Bangalore,47527292.26,60,LOW,2021-10-20
CUS-0043,"Das, Upadhyay and Mandal",ENTERPRISE,BFSI,Hyderabad,10735048.37,30,MEDIUM,2021-06-10
CUS-0044,"Oza, De and Krishna",SME,PHARMA,Mumbai,2091553.86,30,MEDIUM,2024-06-10
CUS-0045,Babu PLC,STARTUP,RETAIL,Delhi,452566.48,60,LOW,2022-02-23
CUS-0046,Tripathi-Ramachandran,STARTUP,BFSI,Delhi,414949.8,30,LOW,2025-05-23
CUS-0047,"Bala, Shukla and Keer",ENTERPRISE,MANUFACTURING,Chennai,46330335.56,60,MEDIUM,2025-03-28
CUS-0048,Subramanian Ltd,ENTERPRISE,PHARMA,Delhi,19771787.8,60,LOW,2022-04-27
CUS-0049,"Agate, Gala and Shere",STARTUP,MANUFACTURING,Bangalore,146136.7,45,HIGH,2023-06-28
CUS-0050,Sagar-Garde,ENTERPRISE,PHARMA,Chennai,31845706.47,45,LOW,2025-05-19
CUS-0051,Dyal-Sharma,STARTUP,PHARMA,Mumbai,274423.01,45,LOW,2024-10-01
CUS-0052,Deol-Setty,SME,BFSI,Hyderabad,4643468.85,60,MEDIUM,2022-04-16
CUS-0053,Korpal Group,SME,IT,Delhi,2310801.74,60,LOW,2022-08-23
CUS-0054,Mittal-Maharaj,SME,RETAIL,Hyderabad,3060973.65,30,MEDIUM,2022-03-18
CUS-0055,Ganesh-Dada,SME,MANUFACTURING,Bangalore,3446175.31,45,LOW,2024-02-02
CUS-0056,"Malhotra, Sabharwal and Pau",SME,PHARMA,Hyderabad,3811826.51,30,LOW,2023-07-02
CUS-0057,"Sur, Walla and Mann",STARTUP,BFSI,Chennai,189856.27,30,LOW,2023-03-03
CUS-0058,Morar-Lad,STARTUP,PHARMA,Mumbai,282166.47,60,MEDIUM,2023-06-26
CUS-0059,Bhalla Inc,SME,BFSI,Delhi,1597929.98,30,LOW,2024-03-16
CUS-0060,Ghosh and Sons,ENTERPRISE,BFSI,Delhi,48108471.9,30,LOW,2023-03-09
CUS-0061,Singh LLC,STARTUP,IT,Bangalore,338180.93,60,HIGH,2025-04-16
CUS-0062,"Dhillon, Shukla and Behl",STARTUP,IT,Delhi,278365.44,45,LOW,2022-04-13
CUS-0063,Sabharwal-Thaman,SME,MANUFACTURING,Hyderabad,1747901.09,45,LOW,2022-02-03
CUS-0064,Parikh-Sathe,ENTERPRISE,MANUFACTURING,Mumbai,17857766.79,30,LOW,2022-03-05
CUS-0065,"Oak, Sarkar and Magar",SME,IT,Delhi,1462787.95,30,LOW,2024-07-31
CUS-0066,Mammen-Nori,ENTERPRISE,PHARMA,Delhi,23906458.3,45,MEDIUM,2023-07-08
CUS-0067,Khosla-Luthra,ENTERPRISE,IT,Bangalore,20829146.12,60,HIGH,2022-04-07
CUS-0068,Dyal-Sarraf,SME,IT,Chennai,4540151.06,45,LOW,2023-03-18
CUS-0069,Deo-Vala,SME,MANUFACTURING,Bangalore,2319425.01,60,LOW,2025-04-11
