invoice_id,customer_id,invoice_date,due_date,payment_date,invoice_amount,paid_amount,outstanding_amount,days_overdue,aging_bucket,invoice_status,product_category,region
INV-00001,CUS-0362,2023-09-10,2023-10-10,2023-10-08,2986.37,2986.37,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00002,CUS-0195,2022-08-24,2022-10-08,2022-10-31,28450.91,28450.91,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00003,CUS-0277,2023-12-23,2024-02-21,2024-02-20,1268.13,1268.13,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00004,CUS-0152,2024-02-11,2024-03-27,2024-03-27,16540.61,16540.61,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00005,CUS-0177,2023-11-17,2024-01-01,2023-12-30,4033.74,4033.74,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00006,CUS-0009,2023-08-30,2023-09-29,2023-09-26,7130.04,7130.04,0.0,0,PAID,PAID,SOFTWARE,NORTH
INV-00007,CUS-0446,2023-05-31,2023-07-30,2023-08-19,1326.63,1326.63,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00008,CUS-0227,2023-02-26,2023-03-28,2023-03-24,4555.37,4555.37,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00009,CUS-0166,2022-08-01,2022-09-15,2022-09-14,5548.14,5548.14,0.0,0,PAID,PAID,HARDWARE,SOUTH
INV-00010,CUS-0306,2022-09-14,2022-10-14,2022-10-11,11351.67,11351.67,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00011,CUS-0262,2024-01-05,2024-03-05,2024-03-27,354.18,354.18,0.0,0,PAID,PAID,SERVICES,EAST
INV-00012,CUS-0302,2022-09-25,2022-10-25,2022-10-21,33245.57,33245.57,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00013,CUS-0461,2023-04-26,2023-06-25,2023-06-22,6219.99,6219.99,0.0,0,PAID,PAID,SOFTWARE,SOUTH
INV-00014,CUS-0311,2022-11-22,2023-01-21,,70156.59,30053.32,40103.27,435,90+,PARTIAL,HARDWARE,WEST
INV-00015,CUS-0373,2023-10-19,2023-12-03,2023-11-28,12036.0,12036.0,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00016,CUS-0478,2023-02-26,2023-03-28,2023-03-24,4417.4,4417.4,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00017,CUS-0071,2023-07-03,2023-08-17,2023-08-12,1780.8,1780.8,0.0,0,PAID,PAID,SOFTWARE,EAST
INV-00018,CUS-0202,2023-05-03,2023-06-17,,1547.85,0.0,1547.85,288,90+,OVERDUE,SOFTWARE,NORTH
INV-00019,CUS-0102,2022-06-29,2022-08-28,2022-09-04,3083.69,3083.69,0.0,0,PAID,PAID,SOFTWARE,WEST
INV-00020,CUS-0281,2022-07-02,2022-08-31,2022-08-26,8888.73,8888.73,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00021,CUS-0098,2023-07-17,2023-08-16,2023-08-11,5114.04,5114.04,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00022,CUS-0424,2023-10-01,2023-10-31,2023-10-30,762.72,762.72,0.0,0,PAID,PAID,SERVICES,NORTH
INV-00023,CUS-0134,2023-02-23,2023-04-24,2023-05-08,1045.03,1045.03,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00024,CUS-0462,2023-04-17,2023-06-16,2023-06-16,1381.03,1381.03,0.0,0,PAID,PAID,MAINTENANCE,NORTH
INV-00025,CUS-0100,2022-10-05,2022-11-04,2022-10-31,6766.5,6766.5,0.0,0,PAID,PAID,HARDWARE,NORTH
INV-00026,CUS-0182,2022-11-14,2023-01-13,2023-01-09,10987.65,10987.65,0.0,0,PAID,PAID,HARDWARE,EAST
INV-00027,CUS-0022,2022-11-29,2023-01-28,2023-01-26,6806.9,6806.9,0.0,0,PAID,PAID,MAINTENANCE,WEST
INV-00028,CUS-0098,2023-06-28,2023-07-28,2023-07-28,2473.96,2473.96,0.0,0,PAID,PAID,MAINTENANCE,SOUTH
INV-00029,CUS-0326,2023-09-04,2023-11-03,2023-10-31,4696.11,4696.11,0.0,0,PAID,PAID,SERVICES,SOUTH
INV-00030,CUS-0188,2022-07-18,2022-09-01,,507.86,338.07,169.79,577,90+,PARTIAL,SERVICES,NORTH
