payment_id,invoice_id,customer_id,payment_date,payment_amount,payment_mode,days_to_pay,on_time_flag
1,INV-00001,CUS-0362,2023-10-08,2986.37,RTGS,28,True
2,INV-00002,CUS-0195,2022-10-31,28450.91,RTGS,68,False
3,INV-00003,CUS-0277,2024-02-20,1268.13,RTGS,59,True
4,INV-00004,CUS-0152,2024-03-27,16540.61,ONLINE,45,True
5,INV-00005,CUS-0177,2023-12-30,4033.74,CHEQUE,43,True
6,INV-00006,CUS-0009,2023-09-26,7130.04,RTGS,27,True
7,INV-00007,CUS-0446,2023-08-19,1326.63,ONLINE,80,False
8,INV-00008,CUS-0227,2023-03-24,4555.37,CHEQUE,26,True
9,INV-00009,CUS-0166,2022-09-14,5548.14,ONLINE,44,True
10,INV-00010,CUS-0306,2022-10-11,11351.67,RTGS,27,True
11,INV-00011,CUS-0262,2024-03-27,354.18,CHEQUE,82,False
12,INV-00012,CUS-0302,2022-10-21,33245.57,NEFT,26,True
13,INV-00013,CUS-0461,2023-06-22,6219.99,NEFT,57,True
14,INV-00015,CUS-0373,2023-11-28,12036.0,CHEQUE,40,True
15,INV-00016,CUS-0478,2023-03-24,4417.4,NEFT,26,True
16,INV-00017,CUS-0071,2023-08-12,1780.8,NEFT,40,True
17,INV-00019,CUS-0102,2022-09-04,3083.69,NEFT,67,False
18,INV-00020,CUS-0281,2022-08-26,8888.73,RTGS,55,True
19,INV-00021,CUS-0098,2023-08-11,5114.04,NEFT,25,True
20,INV-00022,CUS-0424,2023-10-30,762.72,RTGS,29,True
21,INV-00023,CUS-0134,2023-05-08,1045.03,ONLINE,74,False
22,INV-00024,CUS-0462,2023-06-16,1381.03,NEFT,60,True
23,INV-00025,CUS-0100,2022-10-31,6766.5,NEFT,26,True
24,INV-00026,CUS-0182,2023-01-09,10987.65,CHEQUE,56,True
25,INV-00027,CUS-0022,2023-01-26,6806.9,ONLINE,58,True
26,INV-00028,CUS-0098,2023-07-28,2473.96,RTGS,30,True
27,INV-00029,CUS-0326,2023-10-31,4696.11,CHEQUE,57,True
28,INV-00031,CUS-0004,2023-09-03,7066.74,NEFT,41,True
29,INV-00032,CUS-0498,2023-12-03,2300.81,CHEQUE,56,True
30,INV-00033,CUS-0159,2024-03-30,2379.51,ONLINE,25,True
31,INV-00034,CUS-0005,2022-12-30,5806.09,RTGS,88,False
32,INV-00035,CUS-0472,2024-03-01,1183.67,RTGS,28,True
33,INV-00036,CUS-0028,2023-10-23,17615.22,NEFT,64,False
34,INV-00037,CUS-0102,2024-01-09,1725.32,RTGS,60,True
35,INV-00038,CUS-0433,2023-08-20,1684.15,RTGS,46,False
36,INV-00039,CUS-0428,2023-10-31,4927.01,NEFT,44,True
37,INV-00041,CUS-0351,2023-10-25,2279.53,CHEQUE,58,True
38,INV-00043,CUS-0095,2022-05-24,808.79,CHEQUE,25,True
39,INV-00044,CUS-0253,2022-10-19,11016.35,ONLINE,40,True
40,INV-00045,CUS-0478,2023-09-05,3972.54,RTGS,28,True
41,INV-00046,CUS-0442,2022-07-11,2086.75,RTGS,48,False
42,INV-00047,CUS-0084,2023-09-01,1141.31,NEFT,55,True
43,INV-00050,CUS-0449,2022-12-31,3196.82,ONLINE,29,True
44,INV-00051,CUS-0068,2023-03-18,5053.39,NEFT,45,True
45,INV-00052,CUS-0466,2022-10-24,1276.65,ONLINE,56,True
46,INV-00053,CUS-0361,2023-05-12,5847.08,CHEQUE,26,True
47,INV-00054,CUS-0477,2023-11-08,1442.18,CHEQUE,42,True
48,INV-00055,CUS-0113,2023-11-09,10780.53,ONLINE,45,True
49,INV-00056,CUS-0476,2024-01-15,23181.89,CHEQUE,57,True
50,INV-00057,CUS-0364,2024-03-07,171.35,RTGS,56,True
51,INV-00058,CUS-0464,2024-04-17,10001.7,CHEQUE,42,True
52,INV-00059,CUS-0071,2023-02-19,14275.14,CHEQUE,44,True
53,INV-00060,CUS-0466,2024-05-21,6534.75,ONLINE,57,True
54,INV-00061,CUS-0451,2023-07-03,124429.72,RTGS,45,True
55,INV-00062,CUS-0163,2023-04-06,2095.44,ONLINE,58,True
56,INV-00063,CUS-0320,2023-01-09,3964.06,ONLINE,55,True
57,INV-00064,CUS-0426,2022-06-19,1973.02,NEFT,41,True
58,INV-00065,CUS-0415,2022-05-05,7024.8,NEFT,29,True
59,INV-00069,CUS-0277,2023-05-27,3385.46,RTGS,56,True
60,INV-00070,CUS-0160,2022-09-30,4246.32,CHEQUE,42,True
61,INV-00071,CUS-0065,2022-12-14,412.93,NEFT,25,True
62,INV-00072,CUS-0230,2024-03-30,1677.84,NEFT,42,True
63,INV-00073,CUS-0312,2023-12-28,23695.16,NEFT,41,True
64,INV-00074,CUS-0364,2023-07-04,2602.05,NEFT,56,True
65,INV-00075,CUS-0250,2024-01-14,17633.3,ONLINE,29,True
66,INV-00076,CUS-0297,2023-02-23,1971.2,ONLINE,45,True
67,INV-00077,CUS-0192,2023-03-17,14158.25,ONLINE,43,False
68,INV-00078,CUS-0318,2022-11-26,3688.76,CHEQUE,57,True
69,INV-00079,CUS-0037,2024-02-15,1374.93,RTGS,48,False
70,INV-00080,CUS-0433,2024-02-28,292.13,NEFT,25,True
71,INV-00081,CUS-0381,2023-12-26,1854.36,CHEQUE,29,True
72,INV-00082,CUS-0340,2023-07-21,3627.2,ONLINE,57,True
73,INV-00083,CUS-0457,2024-02-03,2383.02,RTGS,56,True
74,INV-00084,CUS-0270,2023-05-30,2114.43,CHEQUE,56,True
75,INV-00085,CUS-0045,2024-04-23,1065.2,CHEQUE,57,True
76,INV-00086,CUS-0103,2024-01-30,1197.84,RTGS,58,False
77,INV-00087,CUS-0412,2023-10-17,3301.06,RTGS,25,True
78,INV-00088,CUS-0394,2022-06-26,305.02,ONLINE,43,True
79,INV-00091,CUS-0315,2023-05-17,1884.32,NEFT,59,True
80,INV-00092,CUS-0420,2024-04-30,1577.86,RTGS,42,True
81,INV-00093,CUS-0491,2023-09-05,3644.01,CHEQUE,42,True
82,INV-00094,CUS-0403,2022-12-08,13194.68,NEFT,41,True
83,INV-00095,CUS-0226,2022-11-17,1778.3,NEFT,25,True
84,INV-00097,CUS-0094,2022-06-09,1437.5,NEFT,57,True
85,INV-00098,CUS-0146,2023-03-11,8315.28,CHEQUE,63,False
86,INV-00100,CUS-0022,2023-08-19,9500.13,RTGS,79,False
87,INV-00101,CUS-0235,2023-11-07,7805.53,CHEQUE,45,True
88,INV-00103,CUS-0460,2023-05-09,27672.2,CHEQUE,42,True
89,INV-00105,CUS-0458,2023-07-21,8215.09,RTGS,28,True
90,INV-00106,CUS-0217,2022-12-01,2619.2,CHEQUE,59,True
91,INV-00107,CUS-0200,2022-10-27,1971.57,CHEQUE,30,True
92,INV-00108,CUS-0211,2023-08-27,3504.05,RTGS,55,True
93,INV-00109,CUS-0100,2023-01-25,6669.74,RTGS,28,True
94,INV-00111,CUS-0180,2023-02-18,3552.34,RTGS,29,True
95,INV-00112,CUS-0236,2023-11-03,11101.9,NEFT,59,True
96,INV-00113,CUS-0106,2023-05-17,1314.87,NEFT,60,True
97,INV-00114,CUS-0237,2024-02-22,534.86,CHEQUE,43,True
